Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Ville,Huhtala,Pohjolankatu 429,Tammela,01148,Finland,FI,19511127-414H,+358,+358 619791489,1951-11-27,True
Gun,Carlsson,Industrivägen 33,Lund,10182,Sverige,SE,19491206-0695,+46,+46 (0)8 345 923 41,1949-12-06,True
Johan,Andersson,Idrottsgatan 6,Nyköping,93127,Sverige,SE,19780128-6726,+46,08-945 02 11,1978-01-28,True
Sofie,Pettersson,Skoltorget 8,Ängelholm,30926,Sverige,SE,19801114-0475,+46,0085-50 73 33,1980-11-14,True
Edward,Chung,Bell Mountains 45255,New Adambury,77812,Danmark,DK,19540305-8479,+45,(835)527-9046,1954-03-05,True
Larry,Stevenson,Nguyen Forks 1688,New Colleen,47377,Danmark,DK,19660926-9630,+45,(679)706-7732x1781,1966-09-26,True
Inkeri,Kainulainen,Betleheminbulevardi 86,Enonkoski,32282,Finland,FI,19850618-310R,+358,+358 02 9291032,1985-06-18,True
Maria,Eriksson,Strandtorget 4,Lidköping,22257,Sverige,SE,19841230-3801,+46,0064-688 04,1984-12-30,True
John,Tate,Zavala Parkway 12438,West Michaeltown,28479,Danmark,DK,19441107-3093,+45,(377)367-9587,1944-11-07,True
Alfred,Dahlberg,Ängsgatan 70,Motala,20337,Sverige,SE,19620409-8174,+46,0408-92 73 01,1962-04-09,True
Melissa,Baxter,Ronald Forge 0046,Port Rebecca,83106,Danmark,DK,19830104-2599,+45,574.833.1008x9196,1983-01-04,True
Karl,Nilsson,Parkgatan 377,Varberg,27242,Sverige,SE,19990709-4570,+46,+46 (0)921 245 97,1999-07-09,True
Magnus,Andersson,Skolvägen 9,Uddevalla,89273,Sverige,SE,19871005-9257,+46,08-933 259 47,1987-10-05,True
Lars,Sundberg,Skoltorget 364,Helsingborg,57815,Sverige,SE,19790616-9588,+46,08-337 917 92,1979-06-16,True
Susan,Wood,Stephen Camp 763,Francesport,35206,Danmark,DK,19790402-6960,+45,001-458-999-0776,1979-04-02,True
Matilda,Pettersson,Idrottstorget 34,Växjö,69775,Sverige,SE,19681203-9691,+46,08-46 12 11,1968-12-03,True
Amanda,Ruiz,Stephenson Squares 225,Annmouth,09668,Norge,DK,19930721-1125,+45,(280)521-3994x7315,1993-07-21,True
Maria,Lundqvist,Parkgränd 45,Motala,25087,Sverige,SE,19830212-7737,+46,08-148 23 28,1983-02-12,True
Ingvar,Karlsson,Parktorget 70,Karlstad,11026,Sverige,SE,19691203-4682,+46,+46 (0)26 72 73 97,1969-12-03,True
Dylan,Miller,Hunt Route 79413,North Carolineborough,26089,Danmark,DK,19720916-1013,+45,(498)392-7799,1972-09-16,True
Johannes,Nyman,Mannerheiminpolku 417,Utajärvi,72845,Finland,FI,19830507-4853,+358,+358 44 9665937,1983-05-07,True
Yvonne,Lundgren,Ringgränd 760,Nyköping,66059,Sverige,SE,19961009-8461,+46,091-292 56 31,1996-10-09,True
Petter,Iversen,Karlsenrøa 19H,Kristoffersen,6241,Norge,NO,19491017-6338,+47,57 73 52 33,1949-10-17,True
Hans,Andersson,Parkvägen 294,Skellefteå,11712,Sverige,SE,19540417-3355,+46,+46 (0)870 549 57,1954-04-17,True
Karin,Lundin,Stationsgatan 0,Skövde,90420,Sverige,SE,19790108-9083,+46,+46 (0)302 575 28,1979-01-08,True
Susanna,Kivimäki,Urkurinkatu 452,Haapavesi,93902,Finland,FI,19901018-119V,+358,021 657 2556,1990-10-18,True
Viktoria,Svensson,Parktorget 3,Mölndal,98146,Sverige,SE,19500414-5295,+46,0930-508 99,1950-04-14,True
Kristina,Björkman,Aspvägen 988,Östersund,40511,Sverige,SE,19440325-9259,+46,+46 (0)12 85 44 19,1944-03-25,True
Irene,Blomqvist,Bäckvägen 74,Uppsala,11536,Sverige,SE,19841127-0434,+46,+46 (0)217 015 36,1984-11-27,True
Heidi,Walton,Wright Squares 2446,Austinton,82907,Danmark,DK,19410912-3622,+45,001-794-930-1843x64097,1941-09-12,True
Morten,Helland,Christensenringen 8,Vidarnes,6788,Norge,NO,19541102-9521,+47,+4712375321,1954-11-02,True
Agneta,Johansson,Ekvägen 4,Lidköping,66559,Sverige,SE,19481009-8193,+46,0470-19 13 15,1948-10-09,True
Howard,Snyder,Mckenzie Throughway 4158,South Tinaland,79637,Danmark,DK,19650319-0371,+45,819-970-1241x023,1965-03-19,True
Katri,Salminen,Maneesibulevardi 117,Nurmes,76079,Finland,FI,19450917-4194,+358,+358 69 0391740,1945-09-17,True
Erik,Danielsson,Kvarngatan 5,Lidköping,19782,Sverige,SE,19830523-2717,+46,0981-52 14 61,1983-05-23,True
Karl,Engström,Skoltorget 446,Karlskrona,81615,Sverige,SE,19930721-7367,+46,+46 (0)076 478 13,1993-07-21,True
Göte,Karlsson,Järnvägstorget 051,Borås,74983,Sverige,SE,19410628-5338,+46,08-904 521 50,1941-06-28,True
Britt,Iversen,Jørgensenflata 6D,Strand,2356,Norge,NO,19520509-2220,+47,42172359,1952-05-09,True
Sindre,Fredriksen,Ahmedlunden 41,Myhre,7416,Norge,NO,19860517-3484,+47,96 13 49 82,1986-05-17,True
Margareta,Larsson,Strandtorget 56,Skövde,79124,Sverige,SE,19530225-8027,+46,+46 (0)42 74 49 42,1953-02-25,True
Ellen,Dahl,Olsenroa 7A,Næss,1273,Norge,NO,19471002-3906,+47,46147984,1947-10-02,True
Mona,Vik,Fredriksenkollen 87A,Johannessen,6799,Norge,NO,19920307-0440,+47,23 59 17 84,1992-03-07,True
Max,Petersson,Strandvägen 080,Motala,21740,Sverige,SE,19630703-8443,+46,08-482 619 45,1963-07-03,True
Olavi,Haapaniemi,Biologinkatu 6,Rusko,32614,Finland,FI,19420812-725Y,+358,(+358) 832157999,1942-08-12,True
Johan,Haugland,Tveitrøa 98,Synnøvefoss,5688,Norge,NO,19821018-5262,+47,35576497,1982-10-18,True
Eva,Josefsson,Skoltorget 7,Alingsås,88825,Sverige,SE,19431211-0527,+46,+46 (0)807 205 11,1943-12-11,True
Michael,Reed,French Street 721,Lake Laurenshire,01000,Danmark,DK,19630225-0565,+45,(600)269-8793x8344,1963-02-25,True
Björn,Persson,Ängsgatan 81,Helsingborg,57738,Sverige,SE,19571017-3953,+46,+46 (0)33 29 82 14,1957-10-17,True
Elvira,Petersson,Idrottsvägen 168,Västerås,63931,Sverige,SE,19741109-7790,+46,+46 (0)58 59 41 89,1974-11-09,True
Tommy,Moe,Eriksenberget 01,Hagen,0003,Norge,NO,19451117-3080,+47,46906492,1945-11-17,True
Helena,Jonsson,Skolvägen 08,Norrköping,60482,Sverige,SE,19750328-6827,+46,020-439 78 30,1975-03-28,True
Kristoffer,Aasen,Bakkeløkka 49,Tangen,5421,Norge,NO,19850725-3990,+47,+47 97 40 93 04,1985-07-25,True
Anton,Karlsson,Stationsgatan 004,Stockholm,88659,Sverige,SE,19570205-9024,+46,0631-65 53 16,1957-02-05,True
Gustav,Lindholm,Industrigatan 96,Borås,86137,Sverige,SE,19790116-9130,+46,0379-343 05,1979-01-16,True
Morten,Sandvik,Lundskogen 03A,Tobiasnes,8228,Norge,NO,20000716-8445,+47,909 30 716,2000-07-16,True
Britt,Dahl,Hagensvingen 9,Evensen,4562,Norge,NO,19900813-4945,+47,901 85 654,1990-08-13,True
Gunnar,Olsson,Gentorget 709,Sundsvall,12349,Sverige,SE,19650517-8688,+46,095-97 81 42,1965-05-17,True
Alf,Myhre,Aasenflata 9,Dagstrøm,7290,Norge,NO,19521205-8816,+47,91291685,1952-12-05,True
Oskar,Johansson,Trädgårdsgatan 71,Stockholm,86716,Sverige,SE,19890211-7484,+46,08-134 67 73,1989-02-11,True
Nils,Thorsen,Moevika 443,Siljedal,6232,Norge,NO,19431121-3427,+47,01 70 15 63,1943-11-21,True
Thomas,Hellberg,Kyrkovägen 7,Södertälje,43190,Sverige,SE,19810807-3144,+46,+46 (0)82 24 65 75,1981-08-07,True
